Date,ob,oe
6/5/2018,7500.899902,593.406006
6/6/2018,7625.970215,610.262024
6/7/2018,7650.819824,607.687012
6/8/2018,7685.140137,605.442993
6/9/2018,7632.52002,600.905029
6/10/2018,7499.549805,594.344971
6/11/2018,6799.290039,524.856995
6/12/2018,6905.819824,532.710022
6/13/2018,6596.879883,498.018005
6/14/2018,6342.75,478.381012
6/15/2018,6674.080078,520.47998
6/16/2018,6455.450195,490.414001
6/17/2018,6545.529785,499.459991
6/18/2018,6510.069824,499.382996
6/19/2018,6742.390137,519.02301
6/20/2018,6770.759766,538.505981
6/21/2018,6780.089844,536.447021
6/22/2018,6737.879883,527.19397
6/23/2018,6090.100098,466.273987
6/24/2018,6164.279785,474.768005
6/25/2018,6171.970215,455.936005
6/26/2018,6253.549805,460.733002
6/27/2018,6084.399902,432.243988
6/28/2018,6153.160156,442.290009
6/29/2018,5898.129883,422.587006
6/30/2018,6214.220215,436.209015
7/1/2018,6411.680176,455.242004
7/2/2018,6380.379883,453.824005
7/3/2018,6596.660156,475.385986
7/4/2018,6550.870117,464.151001
7/5/2018,6599.709961,467.286987
7/6/2018,6638.689941,474.356995
7/7/2018,6668.709961,474.057007
7/8/2018,6857.799805,492.067993
7/9/2018,6775.080078,488.877991
7/10/2018,6739.209961,476.161987
7/11/2018,6330.77002,434.515015
7/12/2018,6396.779785,446.502014
7/13/2018,6235.029785,430.740997
7/14/2018,6247.5,434.510986
7/15/2018,6272.700195,435.882996
7/16/2018,6357.009766,450.424988
7/17/2018,6739.649902,480.076996
7/18/2018,7315.319824,500.838013
7/19/2018,7378.200195,480.627991
7/20/2018,7467.399902,469.307007
7/21/2018,7352.720215,450.678986
7/22/2018,7417.799805,462.437988
7/23/2018,7414.709961,459.438995
7/24/2018,7716.509766,451.135986
7/25/2018,8379.660156,479.906006
7/26/2018,8176.850098,472.330994
7/27/2018,7950.399902,464.009003
7/28/2018,8169.060059,469.678009
7/29/2018,8205.820313,466.915009
7/30/2018,8221.580078,466.826996
7/31/2018,8181.200195,457.244995
8/1/2018,7769.040039,433.868988
8/2/2018,7634.189941,420.806
8/3/2018,7562.140137,412.566986
8/4/2018,7438.669922,418.237
8/5/2018,7031.080078,407.346008
8/6/2018,7062.939941,410.566986
8/7/2018,6958.319824,406.800995
8/8/2018,6746.850098,379.891998
8/9/2018,6305.560059,356.971008
8/10/2018,6571.419922,365.776001
8/11/2018,6185.790039,334.264008
8/12/2018,6283.649902,320.822998
8/13/2018,6341.359863,320.209991
8/14/2018,6287.660156,286.36499
8/15/2018,6221.419922,280.386993
8/16/2018,6294.22998,282.740997
8/17/2018,6340.910156,287.683014
8/18/2018,6583.430176,316.790985
8/19/2018,6422.569824,295.670013
8/20/2018,6500.509766,301.381012
8/21/2018,6301.069824,273.330994
8/22/2018,6486.25,281.967987
8/23/2018,6371.339844,271.747986
8/24/2018,6551.52002,278.110992
8/25/2018,6719.950195,283.281006
8/26/2018,6754.640137,279.524994
8/27/2018,6710.799805,275.350006
8/28/2018,6891.080078,286.648987
8/29/2018,7091.709961,296.162994
8/30/2018,7043.759766,289.752991
8/31/2018,6973.970215,284.119995
9/1/2018,7044.810059,283.496002
9/2/2018,7189.580078,295.453003
9/3/2018,7279.029785,295.181
9/4/2018,7263,289.296997
9/5/2018,7361.459961,286.045013
9/6/2018,6755.140137,231.647995
9/7/2018,6528.919922,229.535004
9/8/2018,6460.169922,217.912003
9/9/2018,6223.379883,198.384995
9/10/2018,6301.569824,197.850998
9/11/2018,6331.879883,198.177002
9/12/2018,6317.009766,185.423004
9/13/2018,6354.240234,183.679001
9/14/2018,6515.410156,212.669006
9/15/2018,6509.399902,209.813995
9/16/2018,6536.680176,222.802994
9/17/2018,6514.060059,221.582001
9/18/2018,6280.910156,197.095001
9/19/2018,6371.850098,209.472
9/20/2018,6398.850098,210.287994
9/21/2018,6513.870117,225.251007
9/22/2018,6735.049805,247.337006
9/23/2018,6715.319824,240.992004
9/24/2018,6704.77002,244.843994
9/25/2018,6603.640137,228.326996
9/26/2018,6452.790039,218.647003
9/27/2018,6495.290039,215.440002
9/28/2018,6678.75,229.041
9/29/2018,6643.100098,221.705002
9/30/2018,6604.709961,231.328995
10/1/2018,6619.850098,233.220001
10/2/2018,6593.240234,231.100006
10/3/2018,6553.859863,226.406998
10/4/2018,6497.910156,220.445999
10/5/2018,6574.149902,222.266998
10/6/2018,6622.450195,227.552002
10/7/2018,6590.680176,225.434998
10/8/2018,6600.189941,226.509003
